Spot,MC_Price,MC_PriceStd,MC_Delta,Analytic_Price,Analytic_Delta
50.000000,8.150795,0.023112,0.163016,8.608401,0.172168
69.387755,11.297163,0.031979,0.162812,11.946353,0.172168
88.775510,14.466210,0.040831,0.162953,15.284304,0.172168
108.163265,17.597712,0.049923,0.162696,18.622255,0.172168
127.551020,20.842575,0.058767,0.163406,21.960207,0.172168
146.938776,23.806331,0.067078,0.162015,25.298158,0.172168
166.326531,27.093957,0.076560,0.162896,28.636110,0.172168
185.714286,30.243885,0.085280,0.162852,31.974061,0.172168
205.102041,33.299221,0.094645,0.162354,35.312013,0.172168
224.489796,36.416076,0.102478,0.162217,38.649964,0.172168
243.877551,39.921540,0.112529,0.163695,41.987916,0.172168
263.265306,42.969486,0.121364,0.163217,45.325867,0.172168
282.653061,46.231652,0.130844,0.163563,48.663819,0.172168
302.040816,49.132939,0.138705,0.162670,52.001770,0.172168
321.428571,52.290506,0.147256,0.162682,55.339721,0.172168
340.816327,55.482993,0.157870,0.162794,58.677673,0.172168
360.204082,58.557573,0.165313,0.162568,62.015624,0.172168
379.591837,61.512832,0.174448,0.162050,65.353576,0.172168
398.979592,64.940343,0.183554,0.162766,68.691527,0.172168
418.367347,68.248171,0.192581,0.163130,72.029479,0.172168
437.755102,71.177886,0.201357,0.162598,75.367430,0.172168
457.142857,74.529920,0.211109,0.163034,78.705382,0.172168
476.530612,77.463433,0.219816,0.162557,82.043333,0.172168
495.918367,80.501316,0.227725,0.162328,85.381285,0.172168
515.306122,83.558762,0.236361,0.162154,88.719236,0.172168
534.693878,86.909428,0.245955,0.162541,92.057187,0.172168
554.081633,90.158056,0.254846,0.162716,95.395139,0.172168
573.469388,93.337999,0.263554,0.162760,98.733090,0.172168
592.857143,96.560209,0.274022,0.162873,102.071042,0.172168
612.244898,99.659710,0.281578,0.162778,105.408993,0.172168
631.632653,102.458975,0.288854,0.162213,108.746945,0.172168
651.020408,105.813026,0.299540,0.162534,112.084896,0.172168
670.408163,109.008795,0.308986,0.162601,115.422848,0.172168
689.795918,112.372358,0.319189,0.162907,118.760799,0.172168
709.183673,114.797488,0.323808,0.161873,122.098751,0.172168
728.571429,118.830887,0.335523,0.163101,125.436702,0.172168
747.959184,122.325004,0.344019,0.163545,128.774653,0.172168
767.346939,125.133196,0.353126,0.163073,132.112605,0.172168
786.734694,128.217589,0.361755,0.162974,135.450556,0.172168
806.122449,131.719694,0.370965,0.163399,138.788508,0.172168
825.510204,134.231693,0.381036,0.162605,142.126459,0.172168
844.897959,137.834785,0.390699,0.163138,145.464411,0.172168
864.285714,141.555784,0.399920,0.163784,148.802362,0.172168
883.673469,144.362705,0.408343,0.163367,152.140314,0.172168
903.061224,147.898842,0.417830,0.163775,155.478265,0.172168
922.448980,149.621538,0.423671,0.162200,158.816217,0.172168
941.836735,153.971193,0.434857,0.163480,162.154168,0.172168
961.224490,156.860434,0.441869,0.163188,165.492119,0.172168
980.612245,159.463709,0.451060,0.162616,168.830071,0.172168
1000.000000,162.680330,0.460699,0.162680,172.168022,0.172168
